"고유번호","일련번호","도시계획사항 코드","도시계획사항 명칭","결정조서 일련번호","고시 일련번호","라벨","고시일자","X 좌표","Y 좌표"
"2562","제2종일반주거지역_00109","UQA122","제2종일반주거지역","","","제2종일반주거지역","","13352.61406","684.5268956"
"2563","제1종일반주거지역_00795","UQA121","제1종일반주거지역","","","제1종일반주거지역","","8095.998679","415.1853892"
"2564","제3종일반주거지역_00417","UQA123","제3종일반주거지역","","","제3종일반주거지역","","318546.0745","12609.95267"
"2565","제2종일반주거지역_01206","UQA122","제2종일반주거지역","","","제2종일반주거지역","","49540.79228","903.434488"
"2566","제2종일반주거지역_00361","UQA122","제2종일반주거지역","","","제2종일반주거지역","","0.08703753","90.24630389"
"2567","제1종일반주거지역_00321","UQA121","제1종일반주거지역","","","제1종일반주거지역","","2325.445405","215.5849766"
"2568","305","UQA121","제1종일반주거지역","UQA12120091222054","58019947","제1종일반주거지역","","5866.098603","334.5570655"
"2569","제2종일반주거지역_00388","UQA122","제2종일반주거지역","","","제2종일반주거지역","","4992.45192","311.6271124"
"2570","제1종일반주거지역_00697","UQA121","제1종일반주거지역","","","제1종일반주거지역","","988.0353843","126.9152393"
"2571","제2종일반주거지역(7층이하)_00998","UQA124","제2종일반주거지역(7층이하)","","","제2종일반주거지역(7층이하)","","59342.76806","1261.404484"
"2572","제2종일반주거지역_00667","UQA122","제2종일반주거지역","","","제2종일반주거지역","","25077.38989","742.0522051"
"2573","제2종일반주거지역_00769","UQA122","제2종일반주거지역","","","제2종일반주거지역","","5813.429792","391.9333296"
"2574","제2종일반주거지역(7층이하)_00569","UQA124","제2종일반주거지역(7층이하)","","","제2종일반주거지역(7층이하)","","27060.20855","735.3981007"
"2575","제1종일반주거지역_00751","UQA121","제1종일반주거지역","","","제1종일반주거지역","","1045.663949","138.5735109"
"2576","제2종일반주거지역_01139","UQA122","제2종일반주거지역","","","제2종일반주거지역","","3000.51732","209.9550525"
"2577","제2종일반주거지역_00395","UQA122","제2종일반주거지역","","","제2종일반주거지역","","4682.404097","291.5083442"
"2578","제1종일반주거지역_01096","UQA121","제1종일반주거지역","","","제1종일반주거지역","","229.2212559","71.41332501"
"2579","제2종일반주거지역_00180","UQA122","제2종일반주거지역","","","제2종일반주거지역","","7921.179211","584.7874639"
"2580","준주거지역_UQA13020170424502","UQA130","준주거지역","UQA13020170424502","58038553","준주거지역","20161020","1075.728487","150.1455717"
"2581","준주거지역_UQA13020170612554","UQA130","준주거지역","UQA13020170612554","58038567","준주거지역","20161110","220026.4843","8168.08293"
"2582","제3종일반주거지역_00007","UQA123","제3종일반주거지역","","","제3종일반주거지역","","15878.00672","1064.387066"
"2583","제3종일반주거지역_00537","UQA123","제3종일반주거지역","","","제3종일반주거지역","","299813.1128","4212.479127"
"2584","제3종일반주거지역_00192","UQA123","제3종일반주거지역","","","제3종일반주거지역","","42581.19169","1100.576559"
"2585","제2종일반주거지역_00708","UQA122","제2종일반주거지역","","","제2종일반주거지역","","70541.49911","2349.594002"
"2586","제2종일반주거지역_00287","UQA122","제2종일반주거지역","","","제2종일반주거지역","","37838.25888","1221.253914"
"2587","제1종일반주거지역_00962","UQA121","제1종일반주거지역","","","제1종일반주거지역","","993.3106325","124.4419714"
"2588","제3종일반주거지역_00078","UQA123","제3종일반주거지역","","","제3종일반주거지역","","22603.87332","613.975987"
"2589","제1종일반주거지역_01150","UQA121","제1종일반주거지역","","","제1종일반주거지역","","1260.911147","144.1481999"
"2590","제1종일반주거지역_01205","UQA121","제1종일반주거지역","","","제1종일반주거지역","","1251.70607","144.8353428"
"2591","제2종일반주거지역_00751","UQA122","제2종일반주거지역","","","제2종일반주거지역","","3982.893875","276.2227103"
"2592","준주거지역_42981","UQA130","준주거지역","42981","2303","준주거지역","","31133.73352","724.5836476"
"2593","제1종일반주거지역_00852","UQA121","제1종일반주거지역","","","제1종일반주거지역","","1789.924138","274.732881"
"2594","제2종일반주거지역_00776","UQA122","제2종일반주거지역","","","제2종일반주거지역","","4437.098145","319.8623902"
"2595","제2종일반주거지역_01393","UQA122","제2종일반주거지역","","","제2종일반주거지역","","10.5408468","18.13363454"
"2596","제3종일반주거지역_00635","UQA123","제3종일반주거지역","","","제3종일반주거지역","","114696.9699","2567.849208"
"2597","준주거지역_UQA13020100310159","UQA130","준주거지역","UQA13020100310159","58020813","준주거","20100128","155493.0137","2414.826836"
"2598","제2종일반주거지역_01191","UQA122","제2종일반주거지역","","","제2종일반주거지역","","43102.88341","1588.549292"
"2599","제2종일반주거지역_00690","UQA122","제2종일반주거지역","","","제2종일반주거지역","","62108.4476","1417.000447"
"2600","제3종일반주거지역_00197","UQA123","제3종일반주거지역","","","제3종일반주거지역","","68839.74541","1609.525649"
"2601","제3종일반주거지역_UQA12320100310157","UQA123","제3종일반주거지역","UQA12320100310157","58020813","제3종일반주거","20100128","33460.16853","905.3482027"
"2602","제2종일반주거지역(7층이하)_00865","UQA124","제2종일반주거지역(7층이하)","","","제2종일반주거지역(7층이하)","","12.63005623","17.18733068"
"2603","제2종일반주거지역(7층이하)_UQA12420170518517","UQA124","제2종일반주거지역(7층이하)","UQA12420170518517","58038625","제2종일반주거지역(7층 이하)","20161124","839.9851555","117.8109823"
"2604","제1종일반주거지역_00672","UQA121","제1종일반주거지역","","","제1종일반주거지역","","1863.379264","187.8418808"
"2650","제2종일반주거지역_00462","UQA122","제2종일반주거지역","","","제2종일반주거지역","","43048.16876","852.9853206"
"2605","제2종일반주거지역(7층이하)_00232","UQA124","제2종일반주거지역(7층이하)","","","제2종일반주거지역(7층이하)","","53616.35605","1577.127782"
"2606","제2종일반주거지역(7층이하)_00423","UQA124","제2종일반주거지역(7층이하)","","","제2종일반주거지역(7층이하)","","4581.549808","420.545824"
"2607","제1종일반주거지역_00600","UQA121","제1종일반주거지역","","","제1종일반주거지역","","982.9133118","125.619964"
"2608","제3종일반주거지역_00310","UQA123","제3종일반주거지역","","","제3종일반주거지역","","52741.38469","1939.563708"
"2609","제2종일반주거지역(7층이하)_00137","UQA124","제2종일반주거지역(7층이하)","","","제2종일반주거지역(7층이하)","","15001.26166","567.3121726"
"2610","제2종일반주거지역_00477","UQA122","제2종일반주거지역","","","제2종일반주거지역","","5400.051665","320.6318335"
"2611","제2종일반주거지역(7층이하)_00238","UQA124","제2종일반주거지역(7층이하)","","","제2종일반주거지역(7층이하)","","97065.2883","1620.912662"
"2612","제2종일반주거지역_UQA12220090424944","UQA122","제2종일반주거지역","UQA12220090424944","58014765","제2종일반주거지역","","69183.7672","1340.10942"
"2613","제2종일반주거지역_00334","UQA122","제2종일반주거지역","","","제2종일반주거지역","","84722.43017","2396.615952"
"2614","제2종일반주거지역_00890","UQA122","제2종일반주거지역","","","제2종일반주거지역","","8375.708837","471.8832798"
"2615","제1종일반주거지역_01173","UQA121","제1종일반주거지역","","","제1종일반주거지역","","7240.601552","834.7392082"
"2616","제2종일반주거지역(7층이하)_00577","UQA124","제2종일반주거지역(7층이하)","","","제2종일반주거지역(7층이하)","","1406.545302","193.5538719"
"2617","제1종일반주거지역_01266","UQA121","제1종일반주거지역","","","제1종일반주거지역","","1501.35981","159.7085511"
"2618","제1종일반주거지역_00010","UQA121","제1종일반주거지역","","","제1종일반주거지역","","162589.3819","3049.603405"
"2619","제1종일반주거지역_5907","UQA121","제1종일반주거지역","102431","11500176","제1종일반주거지역","","1992.693586","226.7400778"
"2620","제2종일반주거지역(7층이하)_00001","UQA124","제2종일반주거지역(7층이하)","","","제2종일반주거지역(7층이하)","","1.29344689","6.423441449"
"2621","준주거지역_4743","UQA130","준주거지역","","","준주거지역","","120278.8966","1633.075774"
"2622","제2종일반주거지역_00865","UQA122","제2종일반주거지역","","","제2종일반주거지역","","5352.101275","328.6347384"
"2623","제2종일반주거지역_00785","UQA122","제2종일반주거지역","","","제2종일반주거지역","","8289.809411","393.1205565"
"2624","제1종일반주거지역_00884","UQA121","제1종일반주거지역","","","제1종일반주거지역","","993.0928243","128.887572"
"2625","제2종일반주거지역_01143","UQA122","제2종일반주거지역","","","제2종일반주거지역","","8301.527369","396.7781092"
"2626","제2종일반주거지역(7층이하)_00659","UQA124","제2종일반주거지역(7층이하)","","","제2종일반주거지역(7층이하)","","5792.660533","484.0726458"
"2627","제1종일반주거지역_00372","UQA121","제1종일반주거지역","","","제1종일반주거지역","","5209.147714","333.3054259"
"2628","제2종일반주거지역(7층이하)_00503","UQA124","제2종일반주거지역(7층이하)","","","제2종일반주거지역(7층이하)","","2587.308289","545.4698826"
"2629","제3종일반주거지역_00468","UQA123","제3종일반주거지역","","","제3종일반주거지역","","2640529.919","41008.89998"
"2630","제2종일반주거지역(7층이하)_00472","UQA124","제2종일반주거지역(7층이하)","","","제2종일반주거지역(7층이하)","","26997.1539","812.1769286"
"2631","제2종일반주거지역(7층이하)_00235","UQA124","제2종일반주거지역(7층이하)","","","제2종일반주거지역(7층이하)","","43156.28666","846.5899978"
"2632","제2종일반주거지역(7층이하)_UQA12420090727995","UQA124","제2종일반주거지역(7층이하)","UQA12420090727995","58016867","제2종일반주거지역(7층이하)","20090723","15549.21173","595.4165991"
"2633","제3종일반주거지역_00595","UQA123","제3종일반주거지역","","","제3종일반주거지역","","35460.64378","1727.64379"
"2634","제3종일반주거지역_00627","UQA123","제3종일반주거지역","","","제3종일반주거지역","","14151.14831","496.7688965"
"2635","제3종일반주거지역_00051","UQA123","제3종일반주거지역","","","제3종일반주거지역","","62141.50284","2525.677138"
"2636","제1종일반주거지역_00753","UQA121","제1종일반주거지역","","","제1종일반주거지역","","1574.243313","418.8202885"
"2637","제1종일반주거지역_00008","UQA121","제1종일반주거지역","","","제1종일반주거지역","","14457.41759","1248.043821"
"2638","제2종일반주거지역_00304","UQA122","제2종일반주거지역","","","제2종일반주거지역","","18196.58765","680.0499808"
"2639","제1종전용주거지역_93","UQA111","제1종전용주거지역","UQA11120060323245","8780","제1종전용주거지역","","319009.358","10683.77601"
"2640","제1종일반주거지역_00041","UQA121","제1종일반주거지역","","","제1종일반주거지역","","15776.27848","670.9560968"
"2641","제2종일반주거지역_00496","UQA122","제2종일반주거지역","","","제2종일반주거지역","","7672.233444","420.1020541"
"2642","제2종일반주거지역(7층이하)_00650","UQA124","제2종일반주거지역(7층이하)","","","제2종일반주거지역(7층이하)","","5556.432437","586.330124"
"2643","제2종일반주거지역_00490","UQA122","제2종일반주거지역","","","제2종일반주거지역","","13893.4118","478.1416994"
"2644","제2종일반주거지역_01484","UQA122","제2종일반주거지역","","","제2종일반주거지역","","23227.34158","626.8737109"
